Wall time,Step,Value
1616434559.7589936,5,0.025516072288155556
1616434587.8886528,15,0.008819429203867912
1616434595.9842381,18,0.006967952009290457
1616434612.7319453,24,0.006566395051777363
1616434668.5866957,40,0.004404149483889341
1616434678.8047888,42,0.005149953532963991
1616434689.4797251,44,0.004174660891294479
1616434694.6312041,45,0.004595993086695671
1616434705.0407534,47,0.004193397704511881
1616434736.5164492,53,0.0029881505761295557
1616434741.3325891,54,0.0031855497509241104
1616434754.6088853,56,0.002889391966164112
1616434813.216297,65,0.0023739540483802557
1616434854.220888,71,0.0025085769593715668
1616434861.0121133,72,0.002430720254778862
1616434867.6667252,73,0.0021691997535526752
1616434874.719512,74,0.0022421227768063545
1616434909.0389013,79,0.0020606890320777893
1616434964.1539977,87,0.0018256934126839042
1616435012.5027988,94,0.00198117783293128
1616435068.2082577,102,0.0016691850032657385
1616435088.8775604,105,0.0017809199634939432
1616435095.8917618,106,0.0017624569591134787
1616435144.1287549,113,0.0016659755492582917
1616435178.5633504,118,0.0015912901144474745
1616435233.967658,126,0.0014874623157083988
1616435254.8451068,129,0.0016540514770895243
1616435261.7632349,130,0.001488620531745255
1616435324.1918907,139,0.0014702953631058335
1616435338.3561573,141,0.0016078077023848891
1616435344.9619315,142,0.0014451694441959262
1616435400.6070776,150,0.001473794924095273
1616435435.4635382,155,0.001406933763064444
1616435455.9893646,158,0.0013987181009724736
1616435518.1400542,167,0.001432297402061522
1616435525.0567684,168,0.001278997864574194
1616435586.9256954,177,0.001317391637712717
1616435593.7385561,178,0.0013789687072858214
1616435628.322893,183,0.0012849331833422184
1616435642.1079204,185,0.0012392675271257758
1616435648.7028067,186,0.0011960900155827403
1616435676.5450144,190,0.0012564088683575392
1616435731.907823,198,0.0012821336276829243
1616435786.4934003,206,0.0011854093754664063
1616435792.5086925,207,0.001215464319102466
1616435799.6144068,208,0.0012095990823581815
1616435826.5545983,212,0.0011918899836018682
1616435901.917903,223,0.001179104088805616
1616435942.7292924,229,0.0012252453016117215
1616435976.1881464,234,0.0011947762686759233
1616435996.951849,237,0.001158280996605754
1616436079.17172,249,0.0010747205233201385
1616436120.6432312,255,0.001182420295663178
1616436155.9112628,260,0.0012079335283488035
1616436175.9815953,263,0.0010785746853798628
1616436203.3090155,267,0.0011494557838886976
1616436231.4883833,271,0.0011620387667790055
1616436245.1028776,273,0.001094033825211227
1616436376.9954796,292,0.0010347615461796522
1616436411.4335043,297,0.0010172679321840405
1616436418.4021766,298,0.0009812754578888416
1616436452.2148554,303,0.0010459445184096694
1616436480.3956742,307,0.0011510207550600171
1616436486.8886013,308,0.001049497164785862
1616436501.0443103,310,0.001189199392683804
1616436556.406887,318,0.0009977472946047783
1616436563.4415655,319,0.0009922805475071073
1616436605.2462678,325,0.0009998652385547757
1616436612.2368667,326,0.0009962854674085975
1616436619.2576437,327,0.000987122766673565
1616436639.7084498,330,0.0010721990838646889
1616436701.7550828,339,0.0011454952182248235
1616436756.7928903,347,0.0009869810892269015
1616436868.0606902,363,0.000986800529062748
1616436895.7065709,367,0.0009667063714005053
1616436936.8325691,373,0.0010483820224180818
1616436964.5573933,377,0.0011170419165864587
1616436978.8086638,379,0.0010149161098524928
1616437061.0717962,391,0.001063414616510272
1616437068.1185675,392,0.0010514124296605587
1616437178.5989482,408,0.0010142690734937787
1616437268.1890633,421,0.0009372744825668633
1616437275.1235702,422,0.0010769132059067488
1616437289.1137648,424,0.001069555408321321
1616437329.7757401,430,0.0009343167766928673
1616437391.997646,439,0.00093690404901281
1616437405.7847464,441,0.0009855666430667043
1616437412.8986871,442,0.0009476730483584106
1616437433.8334832,445,0.0008868949371390045
1616437474.8914378,451,0.0008846918353810906
1616437537.3961837,460,0.0010448674438521266
1616437558.2397373,463,0.0008912917692214251
1616437565.3894062,464,0.0008661575266160071
1616437627.6641314,473,0.0008926652371883392
1616437634.4123158,474,0.0008717115852050483
1616437738.4290435,489,0.0008585518226027489
1616437752.348952,491,0.0008365918765775859
1616437766.3234217,493,0.000880686508025974
1616437863.0697572,507,0.0009635986643843353
1616437897.8476384,512,0.000805038318503648
1616437911.6833954,514,0.0007954553002491593
1616437932.791535,517,0.000805924239102751
1616437988.2660577,525,0.0008990482892841101
1616438030.0224664,531,0.0010411129333078861
1616438043.7005749,533,0.000957405602093786
1616438064.5014338,536,0.0008845733827911317
1616438105.8540123,542,0.0008272872073575854
1616438140.8323705,547,0.000922016566619277
1616438209.8463397,557,0.0008366242982447147
1616438223.4267337,559,0.0007971606682986021
1616438251.2427623,563,0.0010708910413086414
1616438292.760926,569,0.0008561305585317314
1616438319.4784071,573,0.000820439774543047
1616438326.3252368,574,0.0007982830866239965
1616438360.5548782,579,0.0007840974722057581
1616438373.8180807,581,0.0010355171980336308
1616438380.8088129,582,0.0008264738717116416
1616438394.6906898,584,0.0008179244468919933
1616438407.9669535,586,0.0007658980321139097
1616438414.8366156,587,0.0007957374909892678
1616438448.8150616,592,0.0008691754192113876
1616438455.5103106,593,0.000916689692530781
1616438517.019759,602,0.000776061147917062
1616438559.2790072,608,0.0007364361081272364
1616438573.1930544,610,0.0007533695315942168
1616438607.5443525,615,0.0007637745002284646
1616438642.6150799,620,0.0008417870849370956
1616438655.9859052,622,0.0008073904318735003
1616438739.1861033,634,0.0007593383197672665
1616438786.4079483,641,0.0009887840133160353
1616438792.7262633,642,0.0010677719255909324
1616438806.2438815,644,0.0012378928950056434
1616438813.66314,645,0.0009853012161329389
1616438819.7302241,646,0.0009009324130602181
1616438826.8132563,647,0.0007983515388332307
1616438839.9695876,649,0.0007859155302867293
1616438860.7224648,652,0.0007989030564203858
1616438887.730612,656,0.0007716112304478884
1616438922.027168,661,0.0008140692953020334
1616438942.000763,664,0.0007869116961956024
1616438968.5713782,668,0.000922519073355943
1616438989.2088523,671,0.0007179781096056104
1616438995.7577019,672,0.0007721934234723449
1616439009.810915,674,0.0007274991367012262
1616439016.4349365,675,0.000730763771571219
1616439037.6935692,678,0.000814329890999943
1616439044.6143596,679,0.0009267989080399275
1616439064.3924537,682,0.0008048611925914884
1616439071.1486347,683,0.0007714709499850869
