Wall time,Step,Value
1616385215.590761,5,0.04614865407347679
1616385230.9854922,15,0.028068462386727333
1616385235.615271,18,0.027143290266394615
1616385244.8161664,24,0.026263538748025894
1616385269.4285347,40,0.02550634741783142
1616385272.5362685,42,0.025361955165863037
1616385275.6011405,44,0.025351492688059807
1616385277.1141946,45,0.025288885459303856
1616385280.177092,47,0.025228988379240036
1616385289.3847952,53,0.02505725435912609
1616385290.9160807,54,0.025107502937316895
1616385293.99389,56,0.025176648050546646
1616385307.9361453,65,0.024967947974801064
1616385317.154497,71,0.02478412166237831
1616385318.6793637,72,0.024822898209095
1616385320.2280014,73,0.024749070405960083
1616385321.7644296,74,0.0249039176851511
1616385329.4825504,79,0.02446070872247219
1616385341.8159747,87,0.02455773577094078
1616385352.5678623,94,0.02436797507107258
1616385364.9177866,102,0.02439768612384796
1616385369.6194246,105,0.024314463138580322
1616385371.2228358,106,0.024275079369544983
1616385381.9924257,113,0.02430841140449047
1616385390.424572,118,0.024136072024703026
1616385404.939295,126,0.02407701686024666
1616385410.932817,129,0.024225730448961258
1616385412.9264903,130,0.02408771961927414
1616385432.8364189,139,0.0240328386425972
1616385437.4850378,141,0.02396949753165245
1616385439.8646967,142,0.02382713556289673
1616385458.3908582,150,0.02384726144373417
1616385469.726272,155,0.02368120662868023
1616385476.8223639,158,0.023592781275510788
1616385496.4945946,167,0.02371911332011223
1616385498.5319207,168,0.023569682613015175
1616385515.3728743,177,0.02350001595914364
1616385517.3174603,178,0.023399563506245613
1616385527.7939444,183,0.023448467254638672
1616385532.2156892,185,0.023389160633087158
1616385534.4643118,186,0.023150570690631866
1616385544.1027558,190,0.023175962269306183
1616385561.5016356,198,0.023056719452142715
1616385576.4827368,206,0.022879714146256447
1616385578.3289254,207,0.022853652015328407
1616385580.2310836,208,0.02281472645699978
1616385587.883949,212,0.022694075480103493
1616385607.7367668,223,0.022496992722153664
1616385618.8440738,229,0.02226083166897297
1616385628.0342839,234,0.02202424220740795
1616385633.4898305,237,0.022045938298106194
1616385654.8158963,249,0.021604489535093307
1616385665.5096748,255,0.02148384042084217
1616385675.4491758,260,0.0212648157030344
1616385681.1176481,263,0.021006502211093903
1616385688.7591503,267,0.020889123901724815
1616385696.4893246,271,0.020492197945713997
1616385699.9753187,273,0.02046259306371212
1616385737.6875427,292,0.019110383465886116
1616385748.6659415,297,0.018585067242383957
1616385751.03969,298,0.018470602110028267
1616385763.1630073,303,0.01790940947830677
1616385772.9265778,307,0.017483780160546303
1616385775.180547,308,0.017336271703243256
1616385779.6167476,310,0.017202196642756462
1616385795.1326368,318,0.01607198268175125
1616385797.0318363,319,0.01600322127342224
1616385809.5553224,325,0.015118657611310482
1616385811.5827334,326,0.014981307089328766
1616385813.8093865,327,0.014745097607374191
1616385820.8846035,330,0.014273937791585922
1616385841.9182544,339,0.01295594684779644
1616385857.8258839,347,0.01179503183811903
1616385892.41749,363,0.010102535597980022
1616385902.2639155,367,0.009792981669306755
1616385916.053389,373,0.009474565275013447
1616385923.7296922,377,0.009248731657862663
1616385927.6858978,379,0.009196372702717781
1616385955.3082306,391,0.008896109648048878
1616385957.458501,392,0.008806809782981873
1616385992.8973832,408,0.008560468442738056
1616386019.564324,421,0.00833018496632576
1616386021.5908685,422,0.008281263522803783
1616386025.710509,424,0.00825419183820486
1616386039.7484336,430,0.008184363134205341
1616386059.3288803,439,0.008061500266194344
1616386063.0768135,441,0.008020002394914627
1616386065.0860639,442,0.008051734417676926
1616386071.3309824,445,0.008048107847571373
1616386083.586022,451,0.007941684685647488
1616386104.628905,460,0.007854186929762363
1616386111.0786192,463,0.007837751880288124
1616386113.045468,464,0.00779641792178154
1616386130.1200364,473,0.007692862767726183
1616386132.024544,474,0.007716802880167961
1616386161.9617941,489,0.007566650863736868
1616386166.227501,491,0.007567178457975388
1616386170.5907018,493,0.00752838421612978
1616386203.2670817,507,0.007497978862375021
1616386215.5188866,512,0.007455165963619947
1616386219.9808636,514,0.007361911702901125
1616386226.5956821,517,0.007369714323431253
1616386243.9197023,525,0.007309951353818178
1616386256.4408264,531,0.007339558098465204
1616386260.8671882,533,0.007285303436219692
1616386267.5367897,536,0.0072382292710244656
1616386280.7005968,542,0.0072301896288990974
1616386290.8467703,547,0.007176627870649099
1616386311.1319997,557,0.007161287125200033
1616386315.1180754,559,0.007175385486334562
1616386323.159101,563,0.0071289013139903545
1616386335.132436,569,0.0071034724824130535
1616386342.923397,573,0.007055351510643959
1616386344.837662,574,0.007049138192087412
1616386354.5625231,579,0.007056410424411297
1616386358.6574812,581,0.007036472670733929
1616386360.7414248,582,0.007037242874503136
1616386364.8037791,584,0.0070107257924973965
1616386368.8233817,586,0.007049459032714367
